Zürich-Kaserne
Messstation Nr.:  16
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  7 WIRI           -  °         28- 37   Windrichtung
  6 WIGE           -  m/s       18- 27   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 06 18 00 323.0018 2.5398
2013 01 06 19 00 267.4180 1.4522
2013 01 06 20 00 176.9884 1.3260
2013 01 06 21 00 182.7717 0.3005
2013 01 06 22 00 204.3635 0.6464
2013 01 06 23 00 263.1728 1.0181
2013 01 06 24 00 324.8359 1.4314
2013 01 07 01 00 328.0215 1.0767
2013 01 07 02 00 339.4132 1.0631
2013 01 07 03 00 357.0898 0.9785
2013 01 07 04 00 95.9802 2.0307
2013 01 07 05 00 64.4155 1.4343
2013 01 07 06 00 23.8656 1.3671
2013 01 07 07 00 53.0289 1.3477
2013 01 07 08 00 51.6344 1.1660
2013 01 07 09 00 29.9041 1.3085
2013 01 07 10 00 4.1788 1.9457
2013 01 07 11 00 23.5312 1.6119
2013 01 07 12 00 19.0617 1.7751
2013 01 07 13 00 31.8254 1.1521
2013 01 07 14 00 171.2133 1.4684
2013 01 07 15 00 196.9747 0.9908
2013 01 07 16 00 196.6953 0.6644
2013 01 07 17 00 51.3831 1.2019
2013 01 07 18 00 111.0571 1.2463
2013 01 07 19 00 145.0056 1.7466
2013 01 07 20 00 173.3290 1.3518
2013 01 07 21 00 185.9194 2.0625
2013 01 07 22 00 193.2350 1.1407
2013 01 07 23 00 202.7652 1.3861
2013 01 07 24 00 206.6133 1.0976
2013 01 08 01 00 201.1213 1.2396
2013 01 08 02 00 192.5878 1.6037
2013 01 08 03 00 192.8839 1.8423
2013 01 08 04 00 192.5620 1.5337
2013 01 08 05 00 263.7828 1.1339
2013 01 08 06 00 205.5602 1.4961
2013 01 08 07 00 199.7279 1.4020
2013 01 08 08 00 287.2098 1.2271
2013 01 08 09 00 273.3298 0.9484
2013 01 08 10 00 190.9615 1.7785
2013 01 08 11 00 181.0307 1.5868
2013 01 08 12 00 323.0419 1.7375
2013 01 08 13 00 337.7325 1.2888
2013 01 08 14 00 322.3647 1.7954
2013 01 08 15 00 315.1704 1.3984
2013 01 08 16 00 352.8383 0.8235
2013 01 08 17 00 183.9702 1.0980
2013 01 08 18 00 169.8796 1.6234
2013 01 08 19 00 211.5988 1.0267
2013 01 08 20 00 306.1153 1.4415
2013 01 08 21 00 304.1669 1.0252
2013 01 08 22 00 310.6994 1.3777
2013 01 08 23 00 316.9439 1.9569
2013 01 08 24 00 313.1980 1.6446
2013 01 09 01 00 343.5475 2.0317
2013 01 09 02 00 356.5214 1.6414
2013 01 09 03 00 343.5915 0.8466
2013 01 09 04 00 324.2531 0.5815
2013 01 09 05 00 313.3632 1.2855
2013 01 09 06 00 296.5652 0.8819
2013 01 09 07 00 301.4352 0.9424
2013 01 09 08 00 318.3029 1.4096
2013 01 09 09 00 304.1966 1.8307
2013 01 09 10 00 298.3979 1.3023
2013 01 09 11 00 301.9796 1.0848
2013 01 09 12 00 315.5068 1.0933
2013 01 09 13 00 213.4606 0.8282
2013 01 09 14 00 175.7660 0.9223
2013 01 09 15 00 289.4308 1.2487
2013 01 09 16 00 203.8211 0.6885
2013 01 09 17 00 313.1272 0.8954
2013 01 09 18 00 175.6748 1.1279
2013 01 09 19 00 301.5036 1.9598
2013 01 09 20 00 322.5452 1.8795
2013 01 09 21 00 330.9829 1.3069
2013 01 09 22 00 334.9342 1.5974
2013 01 09 23 00 331.2413 1.6222
2013 01 09 24 00 315.2576 1.2822
2013 01 10 01 00 311.6714 1.5514
2013 01 10 02 00 203.0916 0.6140
2013 01 10 03 00 317.7687 0.7136
2013 01 10 04 00 333.5921 1.0308
2013 01 10 05 00 169.2954 1.1613
2013 01 10 06 00 280.6792 0.9843
2013 01 10 07 00 303.1355 1.2081
2013 01 10 08 00 320.9442 0.6460
2013 01 10 09 00 229.0847 0.6306
2013 01 10 10 00 312.2429 1.2747
2013 01 10 11 00 156.8534 0.9503
2013 01 10 12 00 159.3690 0.8622
2013 01 10 13 00 289.7766 1.5380
2013 01 10 14 00 306.2337 2.0572
2013 01 10 15 00 303.9185 2.4336
2013 01 10 16 00 292.6738 1.8020
2013 01 10 17 00 297.3144 1.6562
2013 01 10 18 00 278.6817 2.2165
2013 01 10 19 00 315.0398 1.2842
2013 01 10 20 00 311.0800 1.7992
2013 01 10 21 00 281.8843 1.1465
2013 01 10 22 00 297.4848 1.6950
2013 01 10 23 00 287.1348 1.6314
2013 01 10 24 00 303.2661 1.2750
2013 01 11 01 00 311.8055 1.0903
2013 01 11 02 00 299.2086 1.0005
2013 01 11 03 00 309.4690 0.9789
2013 01 11 04 00 65.2902 0.8078
2013 01 11 05 00 140.3747 2.6906
2013 01 11 06 00 152.9837 1.7165
2013 01 11 07 00 356.9746 0.9809
2013 01 11 08 00 344.4921 0.8724
2013 01 11 09 00 175.8168 0.8589
2013 01 11 10 00 187.3959 1.0773
2013 01 11 11 00 177.2663 0.8342
2013 01 11 12 00 185.7943 0.8945
2013 01 11 13 00 283.7015 1.5369
2013 01 11 14 00 283.2286 1.6860
2013 01 11 15 00 267.2162 1.5084
2013 01 11 16 00 264.1591 1.6846
2013 01 11 17 00 205.2892 1.3196
2013 01 11 18 00 194.9943 0.8873
2013 01 11 19 00 170.6892 1.6615
2013 01 11 20 00 165.7596 1.4192
2013 01 11 21 00 181.8422 1.5367
2013 01 11 22 00 206.8792 1.1867
2013 01 11 23 00 309.7790 1.0497
2013 01 11 24 00 291.2816 1.4530
2013 01 12 01 00 290.8438 1.0433
2013 01 12 02 00 258.1338 1.2372
2013 01 12 03 00 287.0394 0.9167
2013 01 12 04 00 278.8042 0.9252
2013 01 12 05 00 238.1435 1.8085
2013 01 12 06 00 216.2470 1.5516
2013 01 12 07 00 240.8480 0.8930
2013 01 12 08 00 220.1872 1.2976
2013 01 12 09 00 296.1458 1.0084
2013 01 12 10 00 204.5819 0.7442
2013 01 12 11 00 192.2205 1.3460
2013 01 12 12 00 255.4261 1.1801
2013 01 12 13 00 175.9384 1.3866
2013 01 12 14 00 153.8475 1.7906
2013 01 12 15 00 147.3077 1.9548
2013 01 12 16 00 164.4061 1.7401
2013 01 12 17 00 184.1188 1.4077
2013 01 12 18 00 179.2923 1.7061
2013 01 12 19 00 156.7583 1.2433
2013 01 12 20 00 157.6528 1.1441
2013 01 12 21 00 165.3031 1.0162
2013 01 12 22 00 146.1707 1.0313
2013 01 12 23 00 145.9454 0.8961
2013 01 12 24 00 171.2831 1.1684
2013 01 13 01 00 158.7672 1.5206
2013 01 13 02 00 330.8442 0.5995
2013 01 13 03 00 182.3374 1.0509
2013 01 13 04 00 184.5583 0.8399
2013 01 13 05 00 187.3524 0.7020
2013 01 13 06 00 230.7080 0.4541
2013 01 13 07 00 181.4171 1.1160
2013 01 13 08 00 177.3886 0.7385
2013 01 13 09 00 13.8932 1.3468
2013 01 13 10 00 12.3389 1.5901
2013 01 13 11 00 1.9882 1.0626
2013 01 13 12 00 11.5947 1.3308
2013 01 13 13 00 5.9922 1.8156
2013 01 13 14 00 353.8890 2.0226
2013 01 13 15 00 24.9375 1.1997
2013 01 13 16 00 35.1391 1.4828
2013 01 13 17 00 37.4814 1.9210
2013 01 13 18 00 41.3436 1.4727
2013 01 13 19 00 20.8281 1.5762
2013 01 13 20 00 16.2870 1.2027
2013 01 13 21 00 20.3633 1.7343
2013 01 13 22 00 359.4353 1.7437
2013 01 13 23 00 340.4503 1.9183
2013 01 13 24 00 350.3545 1.8575
2013 01 14 01 00 348.1813 2.1274
2013 01 14 02 00 0.1172 1.9779
2013 01 14 03 00 8.8451 1.1985
2013 01 14 04 00 1.9069 1.2800
2013 01 14 05 00 15.0747 0.9556
2013 01 14 06 00 0.4901 0.6466
2013 01 14 07 00 343.2959 1.5494
2013 01 14 08 00 349.1911 1.2500
2013 01 14 09 00 348.6808 1.5653
2013 01 14 10 00 346.7125 1.5204
2013 01 14 11 00 304.6854 1.8097
2013 01 14 12 00 310.9716 3.4398
2013 01 14 13 00 314.3008 2.4118
2013 01 14 14 00 322.3547 2.3919
2013 01 14 15 00 306.1880 2.9522
2013 01 14 16 00 304.8509 2.2477
2013 01 14 17 00 297.5691 2.0480
2013 01 14 18 00 302.8330 2.9613
2013 01 14 19 00 312.2144 2.4084
2013 01 14 20 00 296.2095 2.6160
2013 01 14 21 00 281.4597 1.8803
2013 01 14 22 00 312.2774 0.5830
2013 01 14 23 00 252.3486 0.8769
2013 01 14 24 00 195.5371 1.1242
2013 01 15 01 00 192.8905 1.5353
2013 01 15 02 00 182.5273 1.8791
2013 01 15 03 00 142.8416 1.5927
2013 01 15 04 00 149.2600 1.5566
2013 01 15 05 00 167.7684 1.6822
2013 01 15 06 00 123.0998 1.2678
2013 01 15 07 00 161.6536 2.0488
2013 01 15 08 00 164.5353 2.0160
2013 01 15 09 00 152.3331 1.7636
