Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 06 18 00 171.0384 0.6675
2013 01 06 19 00 123.0751 0.4914
2013 01 06 20 00 96.4477 0.2228
2013 01 06 21 00 65.3927 0.1575
2013 01 06 22 00 87.3234 0.4965
2013 01 06 23 00 275.8824 0.5190
2013 01 06 24 00 132.9981 0.6744
2013 01 07 01 00 74.9367 0.5656
2013 01 07 02 00 113.8080 0.8197
2013 01 07 03 00 126.3078 0.6612
2013 01 07 04 00 316.9768 0.5236
2013 01 07 05 00 86.0174 0.8446
2013 01 07 06 00 97.0851 0.7849
2013 01 07 07 00 103.1192 1.1349
2013 01 07 08 00 109.2022 1.1739
2013 01 07 09 00 126.5372 1.2038
2013 01 07 10 00 94.7120 1.2104
2013 01 07 11 00 91.0382 1.6047
2013 01 07 12 00 107.5396 1.1274
2013 01 07 13 00 127.3244 0.9049
2013 01 07 14 00 127.2517 0.8279
2013 01 07 15 00 128.8194 0.8340
2013 01 07 16 00 310.3850 0.7793
2013 01 07 17 00 327.1368 0.6329
2013 01 07 18 00 103.4467 0.9338
2013 01 07 19 00 108.9423 1.1689
2013 01 07 20 00 110.5918 1.0442
2013 01 07 21 00 90.4482 0.9599
2013 01 07 22 00 96.2500 0.8599
2013 01 07 23 00 93.5244 0.8217
2013 01 07 24 00 99.1315 0.7278
2013 01 08 01 00 102.2839 0.7179
2013 01 08 02 00 116.4806 0.8160
2013 01 08 03 00 265.6201 0.7412
2013 01 08 04 00 171.4648 0.4651
2013 01 08 05 00 251.3615 0.5581
2013 01 08 06 00 113.3167 0.7700
2013 01 08 07 00 155.4415 0.4303
2013 01 08 08 00 271.5500 0.9733
2013 01 08 09 00 165.4906 0.6382
2013 01 08 10 00 99.2598 0.7906
2013 01 08 11 00 121.5941 0.7910
2013 01 08 12 00 263.9455 0.9790
2013 01 08 13 00 271.8732 1.2693
2013 01 08 14 00 272.8478 1.4388
2013 01 08 15 00 268.3046 1.2606
2013 01 08 16 00 268.4602 1.0612
2013 01 08 17 00 138.3778 0.7710
2013 01 08 18 00 158.1666 0.5387
2013 01 08 19 00 120.9818 0.6075
2013 01 08 20 00 104.3716 0.9533
2013 01 08 21 00 103.0795 0.4208
2013 01 08 22 00 111.0629 0.6565
2013 01 08 23 00 111.8660 0.6644
2013 01 08 24 00 124.5197 0.7256
2013 01 09 01 00 204.2058 0.5469
2013 01 09 02 00 153.1117 0.5219
